avgAmount,cost_percentile,quality,no_procedures_location,no_proc_percentile,income_percentile,no_procedures,description
57.366111,0.2331,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
61.125,0.2395,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
27.91,0.1527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
27.91,0.1527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
27.91,0.1527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
27.91,0.1527,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
293.336666,0.8161,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
25.45,0.1055,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
270.99,0.7776,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
212.3,0.7087,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
24.46,0.0808,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
593.74,0.9794,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
325.34,0.8663,52.2,290,0.6582,0.45,154049,Ct head/brain w/o dye
