zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98858,839,575,42868,7468,55439,5933,27.58,,,
98859,146,19,6065,7618,9745,8940,0.88,,,
98860,114,61,46364,17047,44104,8221,29.39,,,
98862,974,698,62549,17968,67082,10123,36.31,,,
98901,9533,6600,35842,2509,49433,2701,23.58,,,
98902,16433,10637,38142,2400,49918,2547,24.94,,,
98903,5291,3915,46297,5679,60407,5490,29.36,,,
98908,14167,9575,58063,3701,75796,3858,34.63,,,
98921,261,261,23179,7630,20701,4147,15.10,,,
98922,2594,1678,51105,3875,68217,8636,31.67,,,
98923,246,216,53214,40401,55080,19029,32.61,,,
98925,233,140,52083,22342,60245,9136,32.11,,,
98926,11931,6491,41614,3850,53847,2852,26.90,,,
98929,0,0,-,**,-,**,#VALUE!,,,
98930,4623,3438,42338,4110,52592,4505,27.30,,,
98932,1285,1135,43117,4247,49426,5802,27.71,,,
98933,399,337,51083,9527,67725,13675,31.66,,,
98934,394,288,39167,28087,51140,8329,25.53,,,
98935,838,726,38895,4155,49154,8690,25.38,,,
98936,1823,1454,57068,4454,61379,5575,34.23,,,
98937,1594,1187,51850,3831,89772,35705,32.00,,,
98938,557,524,66750,17776,77583,19356,37.72,,,
98939,22,13,26250,58902,34327,22197,17.31,,,
98940,377,145,59653,78828,85460,35263,35.24,,,
98941,375,237,56932,11182,61511,10946,34.18,,,
98942,6166,4479,57583,8048,72718,4324,34.44,,,
98943,369,174,48083,18431,53368,9371,30.24,,,
98944,6117,5094,36040,4630,49712,4685,23.70,,,
98946,231,151,52625,8913,63323,13012,32.35,,,
98947,957,764,42263,2915,58308,8161,27.26,,,
98948,3463,2639,34002,3405,46871,3577,22.45,,,
98950,111,93,69886,76333,83719,29139,38.68,,,
98951,3636,2955,38024,4042,47302,3206,24.87,,,
98952,571,434,35574,7908,48994,8833,23.42,,,
98953,1979,1627,55721,8902,66688,5875,33.68,,,
99001,1435,985,37880,3819,46000,5385,24.79,,,
99003,2104,1669,66169,12755,74662,8455,37.54,,,
99004,6801,3780,41177,3396,53692,3187,26.66,,,
99005,2780,2390,96689,15327,105732,10261,43.76,,,
99006,3972,3202,52328,8808,66195,6558,32.22,,,
99008,215,161,51635,28445,63754,16404,31.91,,,
99009,1414,1114,51726,8402,66988,11214,31.95,,,
99011,749,695,44920,3867,53694,5969,28.66,,,
99012,414,255,45076,7218,52183,6780,28.74,,,
99013,634,432,45147,18844,53553,7421,28.78,,,
99016,4677,3273,58608,3521,68696,4031,34.84,,,
99017,73,48,39821,17886,61311,16527,25.91,,,
99018,106,94,52045,9026,53406,10808,32.09,,,
99019,3658,2473,72127,10980,97545,11843,39.32,,,
99020,15,0,-,**,N,N,#VALUE!,,,
99021,3482,2584,57727,7743,72402,5532,34.49,,,
99022,3261,2268,55587,7521,65401,5464,33.62,,,
99023,190,154,93750,58382,123653,40230,43.46,,,
