zip,household_totalno,families_no,median_house_income,median_house_income_errormargin,mean_house_income,mean_house_income_errormargin,median_percentile,,,
98936,1823,1454,57068,4454,61379,5575,,,,
98937,1594,1187,51850,3831,89772,35705,,,,
98938,557,524,66750,17776,77583,19356,,,,
98939,22,13,26250,58902,34327,22197,,,,
98940,377,145,59653,78828,85460,35263,,,,
98941,375,237,56932,11182,61511,10946,,,,
98942,6166,4479,57583,8048,72718,4324,,,,
98943,369,174,48083,18431,53368,9371,,,,
98944,6117,5094,36040,4630,49712,4685,,,,
98946,231,151,52625,8913,63323,13012,,,,
98947,957,764,42263,2915,58308,8161,,,,
98948,3463,2639,34002,3405,46871,3577,,,,
98950,111,93,69886,76333,83719,29139,,,,
98951,3636,2955,38024,4042,47302,3206,,,,
98952,571,434,35574,7908,48994,8833,,,,
98953,1979,1627,55721,8902,66688,5875,,,,
99001,1435,985,37880,3819,46000,5385,,,,
99003,2104,1669,66169,12755,74662,8455,,,,
99004,6801,3780,41177,3396,53692,3187,,,,
99005,2780,2390,96689,15327,105732,10261,,,,
99006,3972,3202,52328,8808,66195,6558,,,,
99008,215,161,51635,28445,63754,16404,,,,
99009,1414,1114,51726,8402,66988,11214,,,,
99011,749,695,44920,3867,53694,5969,,,,
99012,414,255,45076,7218,52183,6780,,,,
99013,634,432,45147,18844,53553,7421,,,,
99016,4677,3273,58608,3521,68696,4031,,,,
99017,73,48,39821,17886,61311,16527,,,,
99018,106,94,52045,9026,53406,10808,,,,
99019,3658,2473,72127,10980,97545,11843,,,,
99020,15,0,-,**,N,N,,,,
99021,3482,2584,57727,7743,72402,5532,,,,
99022,3261,2268,55587,7521,65401,5464,,,,
99023,190,154,93750,58382,123653,40230,,,,
99025,1757,1283,76477,18100,84027,9982,,,,
99026,3517,2897,70754,7987,75636,6272,,,,
99027,2480,1617,53263,9988,63276,6043,,,,
99029,575,426,63364,2535,65623,7183,,,,
99030,412,304,60750,19326,66950,7650,,,,
99031,411,295,30250,10746,48082,14973,,,,
99032,336,202,34375,5633,44385,7182,,,,
99033,401,249,49276,10069,54175,7704,,,,
99034,55,13,-,**,N,N,,,,
99036,473,372,86382,21975,104609,22997,,,,
99037,4816,3457,59758,6476,74787,6691,,,,
99039,50,26,49000,9043,49768,6914,,,,
99040,269,157,29271,11022,46417,12114,,,,
99101,607,466,36691,12659,44828,7117,,,,
99102,218,129,36667,19215,55910,12485,,,,
99103,214,135,41458,7180,51146,6667,,,,
99105,24,14,34500,61860,64954,26954,,,,
99109,2154,1428,35242,8181,47027,4136,,,,
99110,532,376,37059,10184,55480,18022,,,,
99111,1802,1074,48835,4740,63253,9414,,,,
99113,266,199,68167,8833,75637,8669,,,,
99114,5074,3201,40921,2824,56577,4262,,,,
99115,472,346,45139,10357,61021,10092,,,,
99116,665,436,50134,4787,58820,7298,,,,
99117,212,125,40938,7951,53731,7927,,,,
99118,317,189,42344,15217,55826,11829,,,,
99119,426,295,40833,20496,54804,10002,,,,
99121,65,35,45938,17396,54275,21360,,,,
99122,1455,947,51276,6417,62075,6895,,,,
99123,540,348,60263,13066,65098,8022,,,,
99124,121,86,44583,16502,61969,15122,,,,
99125,245,146,44375,4045,48907,6056,,,,
99126,403,333,49946,18992,52327,12542,,,,
99128,122,95,75833,23858,84058,13963,,,,
99129,337,245,31625,12626,48015,9623,,,,
99130,339,213,46583,10578,55397,5204,,,,
99131,77,48,41750,15502,49701,11028,,,,
99133,701,409,34432,13171,49167,8172,,,,
99134,252,187,63750,32535,74060,12078,,,,
99135,107,74,62083,29260,83380,31610,,,,
99136,18,9,32500,48411,46083,26441,,,,
99137,148,88,38636,13889,42964,7806,,,,
99138,464,293,25795,4508,35688,4718,,,,
99139,539,390,47788,7486,53593,9420,,,,
99140,150,95,24792,15049,40526,7675,,,,
99141,2237,1516,44243,7369,49236,3352,,,,
99143,296,187,40357,4848,52236,8414,,,,
99144,20,10,"2,500-",***,46010,44794,,,,
99146,25,19,60521,21132,58716,26509,,,,
99147,68,40,52500,21162,60257,18433,,,,
99148,932,642,48125,4078,59751,7141,,,,
99149,90,54,33864,4043,38209,11135,,,,
99150,93,63,28750,24987,40838,14313,,,,
99151,72,35,30625,12417,35778,9664,,,,
99152,94,40,54861,9806,66404,15193,,,,
99153,225,131,33375,7810,48253,11959,,,,
99154,13,13,117917,114015,86700,28485,,,,
99155,337,219,22422,5662,32661,6031,,,,
99156,3533,2360,37309,5282,46847,3227,,,,
99157,358,261,24306,5159,41280,11949,,,,
99158,275,207,46806,5834,57091,7860,,,,
99159,599,401,48750,9191,67595,11241,,,,
99160,71,25,14750,8731,18846,8504,,,,
99161,577,398,57904,6259,65841,5705,,,,
99163,11196,4589,26116,2082,52537,3275,,,,
99164,0,0,-,**,-,**,,,,
99166,1504,1020,40450,3940,51598,7142,,,,
99167,284,218,45139,8724,49288,7484,,,,
99169,1121,694,46523,6009,58198,5844,,,,
99170,455,269,42629,5410,52259,6277,,,,
99171,488,258,42593,6472,55177,10786,,,,
99173,593,410,35762,5109,43670,5500,,,,
99174,30,20,36667,62642,52040,23093,,,,
99176,79,71,53125,8457,57614,16507,,,,
99179,243,176,64917,13343,68164,5340,,,,
99180,432,298,40203,12766,47203,7897,,,,
99181,764,521,31375,6297,38329,5460,,,,
99185,537,328,41964,4482,58716,9307,,,,
99201,6628,2338,23659,1983,37896,4029,,,,
99202,7034,3455,34180,2556,44741,2857,,,,
99203,8966,5668,67367,3631,86396,4324,,,,
99204,3639,1204,29483,4901,47680,6367,,,,
99205,17476,10413,45544,2012,52559,1987,,,,
99206,14406,9710,52057,2336,62873,2298,,,,
99207,11941,6994,33235,2106,42698,2977,,,,
99208,19622,13459,54446,3529,70227,2622,,,,
99212,7997,5086,51687,4007,62707,4432,,,,
99216,10048,6234,45768,2562,55280,3363,,,,
99217,7195,4527,49731,5118,59266,3686,,,,
99218,5719,3624,49521,4489,61140,4141,,,,
99223,12849,8270,62647,2998,86750,5413,,,,
99224,8246,5508,57706,4255,80733,6573,,,,
99301,21598,16572,57533,2689,65950,2428,,,,
99320,3312,2492,63005,4350,68935,4602,,,,
99321,138,125,58300,45623,56758,19870,,,,
99322,78,65,56250,21503,60326,13771,,,,
99323,1205,996,75046,11542,82073,8166,,,,
99324,3577,2088,43639,3014,51911,4629,,,,
99326,1345,1076,54250,7388,60257,7964,,,,
99328,1568,1034,39481,5218,54081,6147,,,,
99329,82,50,50417,34662,54133,15772,,,,
99330,255,167,46705,22981,60973,16342,,,,
