Id,zip,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
8600000US04953,4953,ZCTA5 04953,1409,114,37336,7613
8600000US04955,4955,ZCTA5 04955,521,53,43508,2458
8600000US04956,4956,ZCTA5 04956,273,37,32750,17031
8600000US04957,4957,ZCTA5 04957,1822,119,45556,8225
8600000US04958,4958,ZCTA5 04958,875,113,38566,9190
8600000US04961,4961,ZCTA5 04961,484,61,37212,5227
8600000US04962,4962,ZCTA5 04962,90,59,22500,57448
8600000US04963,4963,ZCTA5 04963,3082,193,56912,10065
8600000US04964,4964,ZCTA5 04964,106,36,43750,11202
8600000US04965,4965,ZCTA5 04965,825,72,40804,7257
8600000US04966,4966,ZCTA5 04966,726,79,45417,7513
8600000US04967,4967,ZCTA5 04967,1466,121,55577,13244
8600000US04969,4969,ZCTA5 04969,514,53,50952,5440
8600000US04970,4970,ZCTA5 04970,732,73,47381,6581
8600000US04971,4971,ZCTA5 04971,744,82,50156,8183
8600000US04973,4973,ZCTA5 04973,679,95,45474,6654
8600000US04974,4974,ZCTA5 04974,1304,121,33556,14032
8600000US04975,4975,ZCTA5 04975,41,66,-,**
8600000US04976,4976,ZCTA5 04976,4367,204,34632,4351
8600000US04978,4978,ZCTA5 04978,332,44,55938,3320
8600000US04979,4979,ZCTA5 04979,447,66,40110,7280
8600000US04981,4981,ZCTA5 04981,954,114,50568,6682
8600000US04982,4982,ZCTA5 04982,195,40,44583,13250
8600000US04983,4983,ZCTA5 04983,625,74,34237,1687
8600000US04984,4984,ZCTA5 04984,253,41,40583,5260
8600000US04985,4985,ZCTA5 04985,42,18,60833,53189
8600000US04986,4986,ZCTA5 04986,655,66,39632,5338
8600000US04987,4987,ZCTA5 04987,399,51,31705,9659
8600000US04988,4988,ZCTA5 04988,783,78,46750,10927
8600000US04989,4989,ZCTA5 04989,1524,131,50603,9612
8600000US04992,4992,ZCTA5 04992,158,101,7075,44542
8600000US05001,5001,ZCTA5 05001,4100,241,57200,7970
8600000US05031,5031,ZCTA5 05031,71,31,58938,4825
8600000US05032,5032,ZCTA5 05032,1113,122,54931,4028
